代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000410,沈阳机床,4.56,-4.0,1.17,流出,-2385.58,-22.21,-1018.48,-9.48,-1367.1,-12.73,656.13,6.11,1729.44,16.1,2026-06-26T15:03:45+08:00,2026-06-26T15:04:15+08:00
000411,英特集团,9.0,-4.66,0.9,流出,-616.86,-13.23,-103.37,-2.22,-513.48,-11.01,442.46,9.49,174.4,3.74,2026-06-26T15:03:27+08:00,2026-06-26T15:04:15+08:00
000415,渤海租赁,4.16,-5.45,1.47,流出,-618.39,-1.84,-2398.57,-7.15,1780.18,5.31,1944.15,5.8,-1325.76,-3.95,2026-06-26T15:03:30+08:00,2026-06-26T15:04:15+08:00
000417,合百集团,8.11,1.88,12.22,流入,5936.1,7.62,2093.65,2.69,3842.45,4.93,3460.35,4.44,-9396.45,-12.06,2026-06-26T15:03:33+08:00,2026-06-26T15:04:15+08:00
000419,通程控股,4.54,-1.3,1.18,流出,-215.24,-7.33,0.0,0.0,-215.24,-7.33,6.96,0.24,208.28,7.1,2026-06-26T15:03:33+08:00,2026-06-26T15:04:15+08:00
000420,吉林化纤,4.03,-2.89,2.86,流出,-3158.92,-10.97,-2038.18,-7.08,-1120.75,-3.89,333.37,1.16,2825.55,9.81,2026-06-26T15:03:36+08:00,2026-06-26T15:04:15+08:00
000421,南京公用,5.05,-2.13,0.94,流出,-123.18,-4.46,0.0,0.0,-123.18,-4.46,-24.36,-0.88,147.54,5.34,2026-06-26T15:03:48+08:00,2026-06-26T15:04:15+08:00
000422,湖北宜化,13.26,-7.79,5.3,流出,-3214.86,-4.28,1420.02,1.89,-4634.88,-6.16,-2233.65,-2.97,5448.52,7.25,2026-06-26T15:03:36+08:00,2026-06-26T15:04:15+08:00
000423,东阿阿胶,43.48,-0.57,0.69,流出,-1263.16,-6.52,-481.38,-2.48,-781.78,-4.03,518.9,2.68,744.26,3.84,2026-06-26T15:03:54+08:00,2026-06-26T15:04:15+08:00
000425,徐工机械,8.22,-0.24,1.38,流入,2881.19,2.78,3134.5,3.02,-253.31,-0.24,-3149.69,-3.04,268.5,0.26,2026-06-26T15:03:39+08:00,2026-06-26T15:04:15+08:00
000426,兴业银锡,33.01,-6.43,4.46,流出,-28351.07,-10.65,-25203.66,-9.47,-3147.41,-1.18,-1691.48,-0.64,30042.55,11.29,2026-06-26T15:03:39+08:00,2026-06-26T15:04:15+08:00
000428,华天酒店,3.11,-1.89,0.93,流出,-120.04,-4.04,0.0,0.0,-120.04,-4.04,255.55,8.61,-135.52,-4.56,2026-06-26T15:03:51+08:00,2026-06-26T15:04:15+08:00
000429,粤高速Ａ,13.95,1.38,0.35,流入,528.74,8.38,0.0,0.0,528.74,8.38,19.21,0.3,-547.96,-8.69,2026-06-26T15:03:54+08:00,2026-06-26T15:04:15+08:00
000430,张家界,7.2,-6.25,4.52,流出,-359.98,-2.92,-182.19,-1.48,-177.79,-1.44,-208.96,-1.69,568.94,4.61,2026-06-26T15:03:42+08:00,2026-06-26T15:04:15+08:00
000488,ST晨鸣,1.9,-2.06,1.21,流出,-324.81,-8.48,-99.99,-2.61,-224.82,-5.87,-2.86,-0.07,327.67,8.55,2026-06-26T15:03:45+08:00,2026-06-26T15:04:15+08:00
000498,山东路桥,4.81,-1.03,0.42,流出,-18.83,-0.64,0.0,0.0,-18.83,-0.64,-69.01,-2.34,87.85,2.98,2026-06-26T15:03:48+08:00,2026-06-26T15:04:15+08:00
000501,武商集团,6.5,-3.27,0.97,流出,-566.77,-11.56,0.0,0.0,-566.77,-11.56,-110.05,-2.25,676.83,13.81,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000503,国新健康,6.36,-1.55,0.97,流出,-386.12,-6.33,-294.15,-4.82,-91.97,-1.51,54.79,0.9,331.33,5.43,2026-06-26T15:03:51+08:00,2026-06-26T15:04:15+08:00
000504,南华生物,7.24,-3.72,1.6,流出,-615.57,-15.78,-163.26,-4.18,-452.31,-11.59,55.76,1.43,559.81,14.35,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000505,京粮控股,5.07,-1.55,1.04,流出,-91.43,-2.71,-104.58,-3.1,13.15,0.39,-199.03,-5.9,290.46,8.6,2026-06-26T15:03:54+08:00,2026-06-26T15:04:15+08:00
